순위,제목,가수,가사
32,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈 (MUSHVENOM),"무시 마라 날
짬에서 나온 바이브
넌 몰라 노가다의 밤
너의 낮보다 light
아잇 아잇
발단 전개 위기 절정 결말
정말로
불태웠다 난 하얗게
내린다 눈 하얀색
가득히 쌓여 입가에
내가 만만히 보이냐
온실 속 화초들을 cut it
묵묵부답으로 일관 돌하르방
노빠구로 준비
갈 길도 없으니
time less
철들었담 종말 알려 너의 순수함
여백의 미
이 짓거리 의미
찾기 전 쉬지
못해 달려라 하니처럼 running
이젠 깨 공백기
빈칸을 채워
두번째 시즌
겨울이 왔지
날씨는 춥고도 춥다
집 떠난 길거리 혼자서
어딨나 날 떠난 친구들
아무나 빨리
딴따라 인생은 빠삐용
날아라 저 멀리 까치
아홉시 되면은 땡 여백의 미
결국 여백의 미
결국 여백의 미
성공과 실패 중에 난 택 1
성공이 데려간 내 할머니와 나의
할아버지 제길
딴따라 인생
예 오토바이 시동 걸어 예예
손잡고 어디던지
가던 새벽 교회
아무것도 몰라도 그저 god bless
괴로워도
외로워도
그대의 고생에 비하면
아무것도
떠난 동네로
현실 재산 핑계로
구멍가게서 다시 만나기로 hey
가마솥 끓였던 라면
주름 쥔 손 잡았다면
그때의 나도 나이가 들 줄 알았다면
항상 맞은편 다시 찾은 해질녘
성공이 왔지만
데려와 실패를 다시
내 유년시절과
탁자 위 영정 사진 속 그댄
아름다울 미
보이는 게 아냐 전부가
니 눈을 떠봐
내가 하는 말을 잘 들어봐
인생은 아냐 show가
they tryna be me
I'm ahead of their peak
but we ain't the same yey
뒤에선 욕해
앞에 서면 '네네네'
Step in the door
I be wrecking the show
Jessi fosho I be flexing the flow
감히 누가 내게 입을 열어
그래서 난 눈누난나 Let's go
겨울이 왔지
날씨는 춥고도 춥다
집 떠난 길거리 혼자서
어딨나 날 떠난 친구들
They keep on testing me
모르겠음 go away
입 닫고 너나 잘해
보여줬잖아 yeah That's me
무대 위 막은 내리고
모두 제 길로 돌아가도
다듀 노래 제목처럼
우리 가끔씩 오래오래 보자
바쁘더라도 하면서 문자는 한 통씩
자랑스러 우린 현실에서 증명했으니
부정하는 것들 뇌엔 구멍 있겠지
GroovyRoom JUSTHIS & Jessi
옜다 머쉬베놈 톤으로
유종의 미
유종의 미
겨울이 왔지
날씨는 춥고도 춥다
집 떠난 길거리 혼자서
어딨나 날 떠난 친구들
아무나 빨리
딴따라 인생은 빠삐용
날아라 저 멀리 까치
아홉시 되면은 땡 여백의 미"
33,One More Night (Feat. lIlBOI),ASH ISLAND,"우린 떨어져 Shooting star
빛이 쏟아내려 오늘 밤
다시 오지 않을 순간
Let's stay one more night
One more night
One more night
One more night
Let's stay one more night
One more night
One more night
One more night
Let's stay one more night
떨어지고 있어 밤하늘 유성들처럼
멀어지고 있어 출발의 반대로 걸어
시간은 우리들의 밤을 도와주긴커녕
더욱이 빠르게 흘러서
남은 숨마저도 조여 Woah
그러니 우린 더 Woah
같이 있자고 Woah
넘어서 내일이라는 Door
아직 반짝이는 너의 눈을 봐
보단 덜 빛나는 Star in the night
시간은 가고 우린 빛을 잃어가
그전에 어서 너의 것을 꺼내 봐
다신 오지 않을 순간
마지막이라 생각하고
쏟아내 버리자 모두다
Stay one more night
One more night
One more night
One more night
Let's stay one more night
One more night
One more night
One more night
Let's stay one more night
One more night
다음날까지 여길 떠난다면
Up all night
너의 모습을 전부 다 내게 담어
아주 멀리서 본 우린 Keep fallin
쏟아져 내릴 Ocean
Goin upside down
얼마나 갈진 모르지만
확실한 건 지금
이 시간이 괴롭기만 한 건 아니지
Cuz i see your eyes full of galaxy
우린 어리지만
영원하길 바라니 이 장면들이
So lets stay till the mornin
너의 시선을 여기에
둔 채로 아니 눈을 마주친 채로
나는 너에게 다시 물어
Let's stay one more night
One more night
One more night
One more night
Let's stay one more night
One more night
One more night
One more night
Let's stay one more night"
34,멜로디,ASH ISLAND,"어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커
It’s too much Too much
기억할수록 난 되어만 가
Loser Loser
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커
It’s too much Too much
기억할수록 난 되어만 가
Loser Loser
I’m a Loser
난 처음 너의 바램이 되고 싶어
세상을 다 주겠다고 약속을 해
많은 눈들의 착각이
나에겐 혼란이 되어
너만 힘들게 했지
더 잃을 것도 없었는데
날 너와 비교했어 참 나는 못된
사람이 됐고 모든 내 말들은
널 위한 거였단 핑계가 돼
근데 이젠 혼자 살기에는
버거운 집과 혼자 앉아있긴
너무 커 소파
또 다 쓰지도 못하는 돈과 옷
널 데려다줄 만한 큰 차
뭐 다 가져버리고 나서 난
TV에 너와 함께 보던
영화 흘러나오다가
혼잣말 옆에 없잖아 너가
하루 종일 싸우고 안은 채
잠들어도 좋아
다 괜찮으니 와서 채워주라 이 소파
혼자는 이 공간이 너무 커
필요해 너가 필요해 너가
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커
It’s too much Too much
기억할수록 난 되어만 가
Loser Loser
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커
It’s too much Too much
기억할수록 난 되어만 가
Loser Loser
I’m a Loser
Oooh 영원할 것 같았던 약속들
손을 잡아주겠다던 너와 나 둘
앞이 안 보일 때 너가 돼준 내 눈
겨울에 함께 봤던 눈
불타올랐지 아무리 추워도
난 With you
불이 꺼져 재만 남아도 Lovin u
라고 말하던 때 그때 그 기억인 듯
아직두 너와 듣던 노래들의 가사들
뻔한듯했던 그 Melody
가 익숙하던 예전 그대로
고정돼있던 곡 뻔하던 그 제목
초라해 질까 봐 난 말을 못 했어
필요해 너가
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커
It’s too much Too much
기억할수록 난 되어만 가
Loser Loser
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커
It’s too much Too much
기억할수록 난 되어만 가
Loser Loser
I’m a Loser"
35,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코),"비가 와 오랜만에
비가 오지 말라 했어
근데 한 달간에
나도 몰래 기다렸나 봐
Rainy day Rainy day aye yeah
Rainy day yeah
Rainy day
오늘을 기다렸나 봐 난 Rainy day
원래는 기다리지도 않았던
Rainy day
이제는 비가 조금 내리는 건
맞곤 해 이젠
어쩌면 조금 더 가서
난 기다려서 내일엔
비가 와라며 재촉해 너를
볼 핑곌 대기 때문에
What’s goin on girl
무슨 일은 없어
밥은 먹었나 태어나서 첨 하는 걱정
알려줘 나는 너를 더 알고 싶기보단
그저 어디서 무엇을 하는지 보고해줘
집착은 아냐 lady
그런 놈은 안될 게
이런 얘기 원래 안 하는 거
알잖아 왜 이래
그냥 이 곡이 되게 유치해 보여서 제길
비가 오면 같이 우울해지던 그런 내게
빗물같이 떨어져서 너란 사람이
물어서 나는 너에게 어떤 사람 같았니
비가 올 때 우산 사줄 바엔 차라리
나는 같이 맞는 게
좋으니까 걷자 같이
비가 와 오랜만에
비가 오지 말라 했어
근데 한 달간에
나도 몰래 기다렸나 봐
Rainy day Rainy day aye yeah
Rainy day yeah
Rainy day
오늘을 기다렸나 봐 난 Rainy day
준비되어 있지 않아서 나 혼자 uh
울곤 해서 빗소리에 맞춰 혼자 uh
참 좁았었지 몇 평 남짓한 공간엔
오랜 적막과 어둠만이
네가 내게 오기 전까지
난 창 열고 확인해 weather
손 뻗어 is u there
하늘이 어두워지면 거린
환하게 빛내어
넌 보여주려 했나 봐 거리에
형형 색 umbrellas
너와 발맞춰 걸어 불빛 위에
like a shadow
계속 이렇게 있어 줘
Imma treat u better better and
너는 되고 내 인생에
new chapter
비가 오는 것도 좋지만 말했잖아
뒤 rainbow
까지 너와 보고 싶어
till the sunrise and sunset off
비가 오길 기다려 본 적은 처음이야
떨어지는 소린 노크 같아 처음이야
네가 내 하루에 들어와서 다행이야
uh u are the reason
why I'm waitin on that rainy time
비가 와 오랜만에
비가 오지 말라 했어
근데 한 달간에
나도 몰래 기다렸나 봐
Rainy day Rainy day aye yeah
Rainy day yeah
Rainy day
오늘을 기다렸나 봐 난 Rainy day"
36,Joker (Feat. JAMIE),BIG Naughty (서동현),"네가 나를 볼 때
너의 눈빛 속에서
너도 모르는 것 같은
또 다른 네가 나는 보여
네가 날 부를 때
너의 목소리에서
너도 모르는 것 같은
속삭임이 나는 들려
Baby 너의 걸음걸이 하나 마다
알게 모르게 나를 무시하는 듯한
Baby 너는 내가 말을 하나마나
하게 만들어 나를 가지고 노는 듯한
Drop it on me girl
너는 남들 앞에만 서면
귀여운 강아지가 돼
Drop it on me girl
무대 위 조명이 꺼지면
너는 다른 사람이 돼
왕이 돼도 여왕이 돼도
나는 너를 절대로 이길 수가 없어
너는 조커니까
나는 이미 그런 너한테
푹 빠져들었으니까
밤이 오면 게임은 시작돼
밤이 오면 게임은 시작돼
이길 수도
질 수도
없는 그렇고 그런 내일이 시작돼
We’re standing on a cliff
Single step you make and I’ll leave
But don’t take it too deep
You’ll hurt yourself
You’re too weak
I’m sorry babe
난 느껴 네가 원하는 게 여기에
I know you want me bad
So let’s just play the game
이 밤이 지나고 나면
다 타버릴
I got no time
So why so serious
Just smile
Take a little nap
Good night
밤이 오면 게임은 시작돼
밤이 오면 게임은 시작돼
이길 수도
질 수도
없는 그렇고 그런 내일이 시작돼
Walk away
Just walk away
아무렇지 않게
I’ll walk away
Just walk away
네가 아프지 않게
Walk away
Just walk away
아무렇지 않게
I’ll walk away
Just walk away
Away"
37,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,"착한 얼굴에 그렇지 못한 태도
가녀린 몸매 속
가려진 volume은 두 배로
거침없이 직진
굳이 보진 않지 눈치
Black 하면 Pink
우린 예쁘장한 Savage
원할 땐 대놓고 뺏지
넌 뭘 해도 칼로 물 베기
두 손엔 가득한 fat check
궁금하면 해봐 fact check
눈 높인 꼭대기
물 만난 물고기
좀 독해 난 Toxic
You 혹해 I`m Foxy
두 번 생각해
흔한 남들처럼 착한 척은 못 하니까
착각하지 마
쉽게 웃어주는 건 날 위한 거야
아직은 잘 모르겠지
굳이 원하면 test me
넌 불 보듯이 뻔해
만만한 걸 원했다면
Oh wait til’ I do what I do
Hit you with that
ddu-du ddu-du du
Hit you with that
ddu-du ddu-du du
지금 내가 걸어가는 거린
BLACKPINK 4 way 사거리
동서남북 사방으로 run it
너네 버킷리스트
싹 다 I bought it
널 당기는 것도 멀리 밀치는 것도
제멋대로 하는 bad girl
좋건 싫어하건 누가 뭐라 하던
When the bass drop
it’s another banger
두 번 생각해
흔한 남들처럼 착한 척은 못 하니까
착각하지 마
쉽게 웃어주는 건 날 위한 거야
아직은 잘 모르겠지
굳이 원하면 test me
넌 불 보듯이 뻔해
만만한 걸 원했다면
Oh wait til’ I do what I do
Hit you with that ddu-du ddu-du du
Hit you with that ddu-du ddu-du du
What you gonna do
when I come come through
with that that uh uh huh
What you gonna do
when I come come through
with that that uh uh huh
뜨거워 뜨거워 뜨거워 like fire
뜨거워 뜨거워 뜨거워 like fire
뜨거워 뜨거워 뜨거워 like fire
뜨거워 뜨거워 뜨거워 like fire
Hit you with that ddu-du ddu-du du"
38,Summer Hate (Feat. 비),지코 (ZICO),"Good morning
하마터면 달 뜰 때까지 쿨쿨쿨 잠잘 뻔
택배 아저씨 초인종 소리에 기상 가까스로
부재중 전화 5통, 잠금 패턴 또 안 맞고
어제 남긴 피자는 맛없어 그냥 이나 닦자

Dazzling dazzling dazzling
세게 뙤약볕 내리쬐
아침형 인간들 진심으로 리스펙
불쾌지수 지붕킥
Please give me some 시금치
움직일 엄두도 안 나

궁시렁거리는 와중에
뭘 입고 나갈지 피팅 중이야
주차장은 또 왜 이리 멀어
발끝에서부터 힘이 쭉 빠져

몇 주째 내비는 먹통인 데다가
에어컨 바람마저 미지근하지
I want to run way
미친 하루를 시작해

우예 차라리
비나 쏟아졌음 좋겠다

It’s so freaking hot 땀이 삐질 나
서둘러 찾아야 돼 태양을 피할 방법
가는 곳마다 사람이 꽉 차
서울의 열기는 당최 식을 줄 몰라

I hate this summer day
I hate this summer day

주말이 오기만 기다리는 것도
이제는 오래전 일
땀 흘리며 놀기엔 너무
안 받쳐 줘 체력이
네가 가라 하와이 Sorry
난 바닷물 Allergy
아쉬운 대로 여름 노래
크게 틀고 웹서핑

Exit exit 인터넷 창 열면 더 숨 막혀
무슨 영문인지 모조리 뿔났어
That’s not cool, how about you?
일단 냉수 한 잔 쭉
시간 참 더럽게 안 가

애벌레처럼 장판에 붙어
딱 한 겹만 남은 허물을 벗어
몇 년째 솔로 그래서 뭐?
옆구리 시리지 않잖아 전혀

헬게이트 열렸네 활짝
오렌지색 도시는 반짝
참았던 짜증이 왈칵!
다들 애써 즐기는 척
재고 있지 탈주각 Right?

우예 차라리
비나 쏟아졌음 좋겠다

It’s so freaking hot 땀이 삐질 나
서둘러 찾아야 돼 태양을 피할 방법
가는 곳마다 사람이 꽉 차
서울의 열기는 당최 식을 줄 몰라

I hate this summer day
I hate this summer day

칠 팔월만 되면 숨이 막혀 Yeah
Mama said 가만있으면 안 덥대
그늘진 곳은 내 얼굴밖에 없네
Is anybody there 사람 살려 (꿱!)"
39,돌아갈 순 없을까 (Feat. 김세정),MC몽,"돌아갈 순 없을까
내가 널 사랑하지 않던 때로
우리가 서로 만나기 전 그때로
한 번 더 돌아갈 순 없을까
조금도 설레지 않아 이제 우린
I don’t wanna cry
All you have to do is love love love
밤새서 안았잖아 네가 속였던 사랑
말하지 못했잖아 누가 들어도 짠한
우린 야했고 다했고 뻔했지만 Fun 했고
잡생각이 안 들 정도로
우린 뜨거웠던 겨울
두근두근 대는 시절도
이제는 어렴풋이 기억 나는 꿈
바람 소리와 빗소리뿐
이제는 무덤덤 덤해
희망을 적고 사랑을 썼고
한 살 더 먹고 but 시간은 썩고
담배만 뻐끔 대화는 묵음
갇혀버린 Circle 시간은 거꾸로
우린 여전히 화가 솟구쳐
역시나 그 틈을 못 고쳐
하나 확실한 건 생겼어
영화 같은 사랑은 없단 걸
두근두근 대는 시절도
이제는 어렴풋이 기억 나는 꿈
그때로 다시 Rewind
풋풋했던 때로 Rewind
이젠 과연 여지가 안 보일
비련의 결말일까
돌아갈 순 없을까
내가 널 사랑하지 않던 때로
우리가 처음 만났었던 그 날로
한 번 더 돌아갈 순 없을까
조금도 설레지 않아 이제 우린
I don’t wanna cry
All you have to do is love love love
Oh I miss you babe
Oh I miss you babe
Oh 지금이 아닌 그때의 널
I wanna go back
가끔 그립긴 해 아직 사랑 안 하던 때
Can we just do it again
시들기 전에 타고 갈래 Delorian
우리 케미도 케바케된지 오래
매일 실증 같아서 분해
또 다툴 땐 텐션은 MMA
이제 말도 서로 가릴 사이도 애매모호해
아무렇지 않아
손만 대도 터질듯했던 심장
이젠 아무렇지 않아
늦은 새벽까지 답장이 안 와도
예전 같지가 않아
마음이 가지도 않아
When you ain’t with me
No It ain’t ok with me
식을랑 말랑한 너와 난 매정하지 또
헤어질까 말까 같은 혼잣말 맴돌지 꼭
Maybe I’m just paranoid
잡생각만 쌓이고
쌓이고 쌓이고
두근두근 대는 시절도
이제는 어렴풋이 기억 나는 꿈
바람 소리와 빗소리뿐
이제는 무덤덤 덤해
돌아갈 순 없을까
내가 널 사랑하지 않던 때로
우리가 처음 만났었던 그 날로
한 번 더 돌아갈 순 없을까
조금도 설레지 않아 이제 우린
I don’t wanna cry
All you have to do is love love love
이게 이렇게 끝날 일이야
걱정 마 누구나 겪는 일이야
화해 다시 다음 날은 멋대로
화해 다시 다음 날은 멋대로
이게 이렇게 끝날 일이야
걱정 마 누구나 겪는 일이야
화해 다시 다음 날은 멋대로
화해 다시 다음 날은 멋대로
Oh I miss you babe
Oh I miss you babe
Oh 지금이 아닌 그때의 널"
40,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,"밤새 모니터에 튀긴 침이
마르기도 전에 강의실로
아 참 교수님이 문신 땜에
긴 팔 입고 오래
난 시작도 전에 눈을 감았지
날 한심하게 볼 게 뻔하니 이게 더 편해
내 새벽은 원래 일몰이 지나고
하늘이 까매진 후에야 해가 뜨네
내가 처량하다고 다 그래
야 야 난 쟤들이 돈 주고 가는
파리의 시간을 사는 중 이라 전해
난 이게 궁금해
시계는 둥근데 날카로운 초침이
내 시간들을 아프게
모두가 바쁘게
뭐를 하든 경쟁하라 배웠으니
우린 우리의 시차로 도망칠 수밖에
이미 저 문밖엔 모두 그래
야 일찍 일어나야 성공해 안 그래
맞는 말이지 다
근데 니들이 꿈을 꾸던 그 시간에
나도 꿈을 꿨지
두 눈 똑바로 뜬 채로
We're livin' in a different time zone
바뀌어버린 낮과 밤이야
yeah
Have a good night 먼저 자
아직 난 일하는 중이야
We are who we are
We a-a-are who we a-a-are ohahh
Don't you know who we are
4호선 문이 열릴 때
취해 있는 사람들과 날 똑같이 보지마
그들이 휘청거릴 때마다
풍기는 술 냄새마저 부러웠지만
난 적응해야 했거든 이 시차
꿈을 꾸게 해 준 침댄 이 기차
먼지 쌓일 틈이 없던 키보드 위
그리고 2009년부터 지금까지 계속
GRAY on the beat ya
아침은 까맣고 우리의 밤은 하얘
난 계속 칠하고 있고 똑같은 기찰 타네
걱정한 적 없어 막차 시간은 한 번도
얇았던 커튼이 햇빛을 완벽히 못 가려도
난 지금 눈을 감아야 해
내일의 나는 달라져야 해
우린 아무것도 없이 여길 올라왔고
넌 이 밤을 꼭 기억해야 돼
We're livin' in a different time zone
바뀌어버린 낮과 밤이야
yeah
Have a good night 먼저 자
아직 난 일하는 중이야
We are who we are
We a-a-are who we a-a-are ohahh
Don't you know who we are
밤새 모니터에 튀긴 침이
마르기도 전에 대기실로
아 참 문신 땜에 긴 팔 입고 오래
녹화 전에 눈을 감고 생각하지
똑같은 행동 다른 느낌
시차 부적응에 해당돼
지금 내 옆엔 Loco 그리고 GRAY
모두 비웃었던 동방의 소음이 어느새
전국을 울려대
야 이게 우리 시차의 결과고
우린 아직 여기 산다 전해
We're livin' in a different time zone
바뀌어버린 낮과 밤이야
yeah
Have a good night 먼저 자
아직 난 일하는 중이야
We are who we are
We a-a-are who we a-a-are ohahh
Don't you know who we are
모두 위험하다는 시간이
우린 되려 편해
Don't you know who we are
밝아진 창문 밖을 봐야지
비로소 맘이 편해
Don't you know who we are
모두가 다 피하는 반 지하가 우린 편해
Don't you know who we are
We are We are We are
Don't you know who we are"
41,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),"스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)","워 워 go away hah
Trynna make a change
bad mood go away
나를 믿고 우린 계속 나아가야 해
내 그래프 직선 타오르기 직전
Trynna make it blow up 저리 비켜
Trynna make a change
bad mood go away
나를 믿고 우린 계속 나아가야 해
워 워 no way
세상이 우릴 원해
흔해 빠진 이름 사이 카키 빼줘 제발 좀
날 미워하는 너는 안 보나 봐 거울도
이 노랜 tattoo 처럼 세상에 새겨져
남겠지만 괜한 걱정들은 저기 미뤄둬
Whoa whoa go away 못 돼 넘볼 게
세상은 날 원하고 난 더 많은 걸 원해
내일은 더 멀리에 헤엄쳐야 해서
집에 돌아가지 파란 길 위
가로등이 잠들 때
올해가 누구 꺼라 생각해
축배 들어 래원 윙스형 같이 건배
2020 no more bad thang
I don’t freakin’ hate you
wanna be your friend
To you all the ladies
그래 거기 좀만 wait
저 높이 떠있는 해가 바다 뒤로 숨을 때
그땐 날 믿어줘 let ‘em boys go surfin’
다 올라타 전세계 shippin’ wavy season
이젠 내 시간인지
시험인지 모를 게 와버렸고
겪고 지나서 이젠 색으로 보여 검은 것도
멀리 빛이 보여와
난 지금 터널 속에 있어
신발 밑에 묻은 먼지
여전히 버스 타도 폼은 Porsche
마치 다 가진 듯해
눈만 떠도 어차피 날씨는 늘 좋아 지금이
바로 그 때지 언덕 넘어 어
원하면 걸어 다
날 저울 위에 올려도 내겐 시소지
이 불이 꺼지고 난 다음 내 잔해가 남길
바래 넌 느껴줘 마치 날 기다린 듯이
지나가 지나간 곳은
가짠 결국 보여
잃어봤고 이루려 다시 장전
없어 머물 일
도착은 여전히 먼 곳
되물어보지 난 거울보고
아마도 그래서 더 이뻐
그래서 오르고 불 속에 던져
내 과거는 날 위한 경고고 먼지처럼 털어
이 결말은 뻔해
세상아 나도 너를 원해
Trynna make a change
bad mood go away
나를 믿고 우린 계속 나아가야 해
내 그래프 직선 타오르기 직전
Trynna make it blow up 저리 비켜
Trynna make a change
bad mood go away
나를 믿고 우린 계속 나아가야 해
워 워 no way
세상이 우릴 원해
오렌지색 빛 터널 도로 위에 핏자국
허무했던 게임을 떠나 흔들어 백기 좀
펄럭거리던 새의 깃털은
떨어지고 폐기처분
특이점은 날 원해 오뚝이처럼
한 바퀴를 돌아가 난 다시
드라마 항상 마지막에 반전 구하지
발 못 맞춰 어떻게 봐
바보 같잖아 두리번은
바통 터치하고 출발
Jump out
갈 길이 멀기에 던져놨지
가끔 혼자 벙쪄 난
부화기로 복귀하듯 던전의 아침
칼 손에 쥐어 버텨라
벼랑 끝에 필요한 건 쥐구멍
들어가 비를 맞지 그만
근데 하필이면 지금의 난
석회암 조각
네 손잡고 앞으로
견제 안 해 바보야
위선자는 나일 걸 선처해줘
뒤를 못 본 걸 담보로
들이 갖다 박아 또 한 번
안 되면 드러눕길
Nobody stop me 올해의 artist No
올해의 총알받이
넌 봤지 난 누굴 언급하지
떠버리잖니
혹은 반대로 불에 하얗게 타지
내 주둥아리에선
담배 없이 연기가 나지
어떤 아가씨도 가능해
원할 때 hottie 맞이
나이 차며 점수 올라 이젠 10점짜리
내가 zone에 들어가면
구경꾼은 전신마비
내 뇌는 IMF 누구보다 부가 많지
From the bottom to the top
자리 잡았어 the charts
가끔 살짝 내려가
그리고 다시 올라와
나는 rockstar
Lit like a cop car
내 출신은 왕따
건국했어 왕가 ey
여기 MVP로 누굴 뽑을래
넘쳤던 닭대가리 속의 오골계
니가 원하지 않아도 나머지는 원한대
솔직히 말해
내가 진짜 가면 이제 뭐할래
기록갱신 legendary
위기도 기회로 make it
한땐 여론 땜에
내가 가진 재능 underrated
그들이 짜놓은 더러운 frame이
내 credit 더럽히겠지
근데 아직 할 게 많고
세상은 자꾸 날 찾네
잘 풀릴 땐 다 반기지
내가 무너지면 남이 될
이들도 별로 안 밉지 그게 승자의 방식
나쁜 생각들은 잠시 꺼두고 난 계속 밟지
Straight up 초연하게 make dough
Trynna make a change
bad mood go away
나를 믿고 우린 계속 나아가야 해
내 그래프 직선 타오르기 직전
Trynna make it blow up 저리 비켜
Trynna make a change
bad mood go away
나를 믿고 우린 계속 나아가야 해
워 워 no way
세상이 우릴 원해"
42,쉴 곳 (Feat. 김영흠),MC몽,"왜 넌 남에게 욕설과 모욕을 줬니
낮이고 밤이고 그것이 너의 행복이니
너의 천박한 만족을 느끼는 그 시간에
남들은 더 사랑해 구원하면 천국 원해
넌 누구의 성공을 작정하고 악담
난 누구의 행복을 기도하고 안아
이런 게 사람이 사람의 사는 이야기
왜 몰라 도덕과 무법은 한 끗 차이
아껴주지 못할망정
남들 까는 시간도 아까운데 왜 나쁜 것에 방전
More meditation for your mind 더
평온함을 찾어 No medicate 그딴 건
삐까뻔쩍할 인기만 좇다 함정
Time’s up 그 물거품은 싹 따 빠졌고
난 멀리 떨어져 있을래
Cuz I gotta stay alive 내 사람들 위해
내가 넘어지고 어둔 밤을 헤맬 때
나의 등대가 되어주오
나의 힘이 돼주오 돌아갈 수 있도록
그대 있는 나의 집으로
비록 힘이 없고 비겁하고 나약하여도
그대 손을 꼭 놓지 않겠소
나를 데려가 주오 날 그대에게로
내 쉴 곳은 그곳뿐이니
I wanna take it easy
But they don’t make it easy
Don’t matter what he say or she say
여기서 좀 쉴게 yeah
I wanna take it easy
But they don’t make it easy
Don’t matter what he say or she say
사슴을 쫓아가다 돼지에 쫓기는 격
빛을 잃어버린 자여 제발 꿈을 꿔
죽고 싶다 라는 말이 습관처럼 나오도록
눈물 날 정도로 우린 바락바락 살며
나쁜 말도 쉽게 막 뱉어내
돼 돼 하니까 또 막 짖어대
가운뎃손가락은 잠시 접어두고
누굴 향한 총구는 널 위해 두고
내가 넘어지고 어둔 밤을 헤맬 때
나의 등대가 되어주오
나의 힘이 돼주오 돌아갈 수 있도록
그대 있는 나의 집으로
비록 힘이 없고 비겁하고 나약하여도
그대 손을 꼭 놓지 않겠소
나를 데려가 주오 날 그대에게로
내 쉴 곳은 그곳
내 쉴 곳은 그곳
내 쉴 곳은 그곳뿐이니
과도한 긴장 변덕 숨 가쁨 분노
힘들었겠구나 너의 뜨거웠던 삶도
사라져 가고 당신의 유일했던 쉴 곳
엄마 품처럼 따스히 감싸주던 불꽃
이 넓은 하늘 아래 쉴 곳이
이 넓은 땅에 숨 쉴 곳이
이 넓은 하늘 아래 쉴 곳이
이 넓은 땅에 숨 쉴 곳이
내가 넘어지고 어둔 밤을 헤맬 때
나의 등대가 되어주오
나를 데려가 주오 날 그대에게로
내 쉴 곳은 그곳뿐이니"
43,축하해 (Prod. By VAN.C),오반 (OVAN),"Happy Birthday To You
넌 웃질 않아 근데
왜이리 잘하기 힘든걸까
Happy Birthday To You
그댄 내 사랑인데
이제는 너를 자랑하고파
오늘은 내 생일인데
넌 왜 우울해 하고 있니
모든걸 내던지고
너의 품안에 안겨있잖아
지워 인스타그램도 전부
니맘대로 my love 나의 사랑이 안보이니
조금만 더 사랑해줘 내 생일이잖아
넌 너무 아파 아직도 내 직업땜에 안심도
못하고 내내 따질수도 없는 누구의 죄
혼자서만 가지고 네 인스타그램엔
사진 하나도 못 올려
우리가 함께 한 픽션으로 못 숨겨
다 우리 얘기잖아
니 친군 또 물어보네
저 배우분은 누구녜
웃으며 대답해도 흘러
두눈에 넌 눈물
더 이상 안 숨었음 해
오늘은 웃어줘 내 생일인데
Happy Birthday To You
넌 웃질 않아 근데
왜이리 잘하기 힘든걸까
Happy Birthday To You
그댄 내 사랑인데
이제는 너를 자랑하고파
생일 축하해란 말에 1등 축하해 내 사랑
세상 준다해도 안바꿔 내 노래
넌 왜 그렇게 춥다 해
난 뜨거운 노랠 틀까 해
널 향한 가사 들로 너를 전부 녹여볼래
I dont wanna 싸움 any more
쉬자 그냥 여기 누워
스무살에 능그러웠던 사랑은 과일부터
내 역사의 주인공이 돌아와서 기뻐
but we don't have to repeat our trauma
세상은 방해해 여전히 우릴
하지만 사랑하잖아요 여전히 우린
Happy birthday 케이크 위에 촛불이
꺼질때까진 웃어줘 내 생일인데
추억들을 별처럼 수 놓지
결국 서로를 벗어 날 수 없지
그러니까 한번 웃어줘 내 생일인데
Happy Birthday To You
넌 웃질 않아 근데
왜이리 잘하기 힘든걸까
Happy Birthday To You
그댄 내 사랑인데
이제는 너를 자랑하고파"
